,lat,lon,elevation
0,48.532598360805856,-122.03424284798535,26.0
1,48.532598360805856,-122.03424284798535,26.0
2,35.370712919191924,-119.30555898989898,96.0
3,42.77634444277711,-123.12175428504736,1366.0
4,43.55137142857143,-118.41857142857144,1695.0
5,41.203275,-121.62275,1178.0
6,37.26202114538028,-121.50711014828494,535.0
7,37.26202114538028,-121.50711014828494,535.0
8,37.26202114538028,-121.50711014828494,535.0
9,37.26202114538028,-121.50711014828494,535.0
10,38.66528544332211,-120.98236841245176,369.0
11,38.66528544332211,-120.98236841245176,369.0
12,38.66528544332211,-120.98236841245176,369.0
13,35.370712919191924,-119.30555898989898,96.0
14,36.976936190450175,-119.87107653518356,116.0
15,40.34434389520202,-122.62065931186868,238.0
16,33.84666690723537,-117.93689228030937,46.0
17,33.84666690723537,-117.93689228030937,46.0
18,33.84666690723537,-117.93689228030937,46.0
19,33.84666690723537,-117.93689228030937,46.0
20,34.08535227920228,-116.41147503561253,1167.0
21,34.08535227920228,-116.41147503561253,1167.0
22,34.08535227920228,-116.41147503561253,1167.0
23,34.08535227920228,-116.41147503561253,1167.0
24,48.532598360805856,-122.03424284798535,26.0
25,34.511745280780296,-118.74005877833348,409.0
26,34.511745280780296,-118.74005877833348,409.0
27,34.511745280780296,-118.74005877833348,409.0
28,34.511745280780296,-118.74005877833348,409.0
29,33.678178007518795,-115.0491403508772,123.0
30,33.678178007518795,-115.0491403508772,123.0
31,33.678178007518795,-115.0491403508772,123.0
32,33.678178007518795,-115.0491403508772,123.0
33,34.23147539560439,-117.3167698992674,1475.0
34,34.23147539560439,-117.3167698992674,1475.0
35,47.50769761904762,-120.36235714285714,560.0
36,34.23147539560439,-117.3167698992674,1475.0
37,34.23147539560439,-117.3167698992674,1475.0
38,36.287761333333336,-118.5830675,2715.0
39,39.42879306818182,-116.98096515151516,2123.0
40,39.42879306818182,-116.98096515151516,2123.0
41,39.42879306818182,-116.98096515151516,2123.0
42,39.42879306818182,-116.98096515151516,2123.0
43,39.42879306818182,-116.98096515151516,2123.0
44,39.42879306818182,-116.98096515151516,2123.0
45,39.42879306818182,-116.98096515151516,2123.0
46,47.50769761904762,-120.36235714285714,560.0
47,36.08737897223244,-114.97812040444934,472.0
48,36.08737897223244,-114.97812040444934,472.0
49,36.08737897223244,-114.97812040444934,472.0
50,47.656,-116.79944444444445,645.0
51,47.656,-116.79944444444445,645.0
52,47.656,-116.79944444444445,645.0
53,47.656,-116.79944444444445,645.0
54,44.090291512979775,-115.65926367043583,1226.0
55,44.090291512979775,-115.65926367043583,1226.0
56,44.090291512979775,-115.65926367043583,1226.0
57,47.50769761904762,-120.36235714285714,560.0
58,44.090291512979775,-115.65926367043583,1226.0
59,44.090291512979775,-115.65926367043583,1226.0
60,42.915963251563255,-112.8645278980279,1345.0
61,42.915963251563255,-112.8645278980279,1345.0
62,42.915963251563255,-112.8645278980279,1345.0
63,47.0348037037037,-113.90005555555555,1804.0
64,47.0348037037037,-113.90005555555555,1804.0
65,46.9769828125,-110.5825,2531.0
66,46.9769828125,-110.5825,2531.0
67,46.9769828125,-110.5825,2531.0
68,47.50769761904762,-120.36235714285714,560.0
69,46.49987422928969,-121.32445130143272,1369.0
70,46.49987422928969,-121.32445130143272,1369.0
71,46.49987422928969,-121.32445130143272,1369.0
72,46.035314285714286,-108.35314285714288,994.0
73,46.035314285714286,-108.35314285714288,994.0
74,46.035314285714286,-108.35314285714288,994.0
75,42.696625806451614,-109.63406451612904,2200.0
76,42.696625806451614,-109.63406451612904,2200.0
77,42.696625806451614,-109.63406451612904,2200.0
78,44.63035,-106.91325,1428.0
79,47.40497250739241,-122.36915530806549,0.0
80,44.21470769230769,-105.18824615384617,1329.0
81,42.05036681818182,-105.58945606060608,2345.0
82,39.3876301646266,-111.9566096881518,1582.0
83,39.3876301646266,-111.9566096881518,1582.0
84,39.3876301646266,-111.9566096881518,1582.0
85,39.3876301646266,-111.9566096881518,1582.0
86,39.3876301646266,-111.9566096881518,1582.0
87,35.64531287878788,-113.88736363636365,1203.0
88,35.64531287878788,-113.88736363636365,1203.0
89,35.64531287878788,-113.88736363636365,1203.0
90,35.370712919191924,-119.30555898989898,96.0
91,35.798140952380955,-111.19934206349208,1381.0
92,35.798140952380955,-111.19934206349208,1381.0
93,35.798140952380955,-111.19934206349208,1381.0
94,33.351463378684805,-113.51033106575964,393.0
95,33.351463378684805,-113.51033106575964,393.0
96,33.3105560105651,-111.18396976885056,756.0
97,33.3105560105651,-111.18396976885056,756.0
98,33.3105560105651,-111.18396976885056,756.0
99,35.52901363636364,-109.41713636363636,2177.0
100,47.85677020833333,-118.37217777777778,417.0
101,35.370712919191924,-119.30555898989898,96.0
102,34.45916494450412,-107.0774420271458,1954.0
103,34.45916494450412,-107.0774420271458,1954.0
104,40.07365090302528,-104.6266057640156,1517.0
105,40.07365090302528,-104.6266057640156,1517.0
106,39.73944770833333,-107.17184791666666,3060.0
107,45.14087309619389,-121.34312506153584,659.0
108,45.14087309619389,-121.34312506153584,659.0
109,45.14087309619389,-121.34312506153584,659.0
110,42.77634444277711,-123.12175428504736,1366.0
111,42.77634444277711,-123.12175428504736,1366.0
112,47.40497250739241,-122.36915530806549,0.0
113,47.85677020833333,-118.37217777777778,417.0
114,36.976936190450175,-119.87107653518356,116.0
115,40.34434389520202,-122.62065931186868,238.0
116,41.203275,-121.62275,1178.0
117,40.34434389520202,-122.62065931186868,238.0
118,38.66528544332211,-120.98236841245176,369.0
119,36.976936190450175,-119.87107653518356,116.0
120,35.28158799679487,-120.55364583333332,556.0
121,38.09867765845532,-122.29789528406523,0.0
122,36.976936190450175,-119.87107653518356,116.0
123,40.34434389520202,-122.62065931186868,238.0
124,38.09867765845532,-122.29789528406523,0.0
125,35.28158799679487,-120.55364583333332,556.0
126,35.28158799679487,-120.55364583333332,556.0
127,38.09867765845532,-122.29789528406523,0.0
128,34.511745280780296,-118.74005877833348,409.0
129,34.23147539560439,-117.3167698992674,1475.0
130,34.17490969052095,-118.2764509212018,198.0
131,32.98484226393592,-117.05520494302569,200.0
132,33.678178007518795,-115.0491403508772,123.0
133,34.23147539560439,-117.3167698992674,1475.0
134,32.98484226393592,-117.05520494302569,200.0
135,36.08737897223244,-114.97812040444934,472.0
136,47.31644375,-119.630625,598.0
137,34.17490969052095,-118.2764509212018,198.0
138,36.287761333333336,-118.5830675,2715.0
139,36.976936190450175,-119.87107653518356,116.0
140,35.28158799679487,-120.55364583333332,556.0
141,32.98484226393592,-117.05520494302569,200.0
142,36.08737897223244,-114.97812040444934,472.0
143,35.64531287878788,-113.88736363636365,1203.0
144,33.351463378684805,-113.51033106575964,393.0
145,34.17490969052095,-118.2764509212018,198.0
146,36.287761333333336,-118.5830675,2715.0
147,47.40497250739241,-122.36915530806549,0.0
148,32.98484226393592,-117.05520494302569,200.0
149,36.08737897223244,-114.97812040444934,472.0
150,36.976936190450175,-119.87107653518356,116.0
151,36.08737897223244,-114.97812040444934,472.0
152,44.090291512979775,-115.65926367043583,1226.0
153,42.915963251563255,-112.8645278980279,1345.0
154,39.3876301646266,-111.9566096881518,1582.0
155,38.66528544332211,-120.98236841245176,369.0
156,36.976936190450175,-119.87107653518356,116.0
157,40.34434389520202,-122.62065931186868,238.0
158,46.49987422928969,-121.32445130143272,1369.0
159,39.3876301646266,-111.9566096881518,1582.0
160,35.64531287878788,-113.88736363636365,1203.0
161,35.798140952380955,-111.19934206349208,1381.0
162,44.090291512979775,-115.65926367043583,1226.0
163,47.0348037037037,-113.90005555555555,1804.0
164,46.49987422928969,-121.32445130143272,1369.0
165,47.85677020833333,-118.37217777777778,417.0
166,42.915963251563255,-112.8645278980279,1345.0
167,47.0348037037037,-113.90005555555555,1804.0
168,39.3876301646266,-111.9566096881518,1582.0
169,47.85677020833333,-118.37217777777778,417.0
170,45.14087309619389,-121.34312506153584,659.0
171,43.55137142857143,-118.41857142857144,1695.0
172,46.9769828125,-110.5825,2531.0
173,42.696625806451614,-109.63406451612904,2200.0
174,39.3876301646266,-111.9566096881518,1582.0
175,46.9769828125,-110.5825,2531.0
176,47.85677020833333,-118.37217777777778,417.0
177,46.035314285714286,-108.35314285714288,994.0
178,42.696625806451614,-109.63406451612904,2200.0
179,44.63035,-106.91325,1428.0
180,47.31644375,-119.630625,598.0
181,47.85677020833333,-118.37217777777778,417.0
182,47.31644375,-119.630625,598.0
183,45.14087309619389,-121.34312506153584,659.0
184,42.696625806451614,-109.63406451612904,2200.0
185,44.63035,-106.91325,1428.0
186,44.21470769230769,-105.18824615384617,1329.0
187,44.63035,-106.91325,1428.0
188,39.3876301646266,-111.9566096881518,1582.0
