Line,ec3,ec3veg,miroc6,mpi,taiesm1
88209,0.9660975206750423,0.9724190965722939,0.9726125454413067,0.9542409134853796,0.9491813109173836
88210,0.9775974838244477,0.9885545457435827,0.986230030945088,0.9755364544029469,0.9534487201355698
88211,0.9374651039071296,0.9466415220660321,0.949135622104424,0.9334380273559629,0.9227022362617101
88212,1.0088769629654482,1.0089463686137359,1.012084222253562,1.0014409513454954,1.0024907331935755
88213,0.9562449098084543,0.9641622580293515,0.965207929993588,0.9503125327016251,0.9426115514855335
88214,0.9541908524449995,0.9593528879967987,0.9654121779676236,0.9484070335949328,0.9437511540795374
88215,1.0783940872523843,1.076733536722716,1.0758088792796288,1.0893627041305582,1.0783833678168337
88216,0.9541908524449995,0.9593528879967987,0.9654121779676236,0.9484070335949328,0.9437511540795374
88217,1.072313176160396,1.0691717312115157,1.0710519902837767,1.0711615192963793,1.065334442211157
88218,1.0215286129909993,1.0204032602137778,1.0252785923195467,1.0087905356880138,1.0133313655466556
88219,1.0394100066109613,1.035624357632901,1.0402164762320962,1.0285893214903363,1.0279987676525373
88220,0.9522225570234774,0.9632273321641655,0.97145548693684,0.9451372707416036,0.9403104672754283
88221,1.0215286129909993,1.0204032602137778,1.0252785923195467,1.0087905356880138,1.0133313655466556
88222,0.9378956050761666,0.9481627355738619,0.9527336694692924,0.935108897161434,0.9252692811709441
88223,1.0215286129909993,1.0204032602137778,1.0252785923195467,1.0087905356880138,1.0133313655466556
88224,0.9374651039071296,0.9466415220660321,0.949135622104424,0.9334380273559629,0.9227022362617101
88225,0.9723687288645413,0.9827305581371573,0.9790049973908495,0.9698455972667409,0.9493668961487236
88227,0.8980884004117614,0.9083974893461508,0.9110241144879658,0.8987598976548439,0.8768566913705683
88228,0.9226258771828795,0.9338451469991776,0.9379019710314657,0.9213323510598134,0.9080441830276718
88229,0.9237692690541922,0.9338451469991776,0.9379019710314657,0.9219136494313915,0.9081446680580171
88230,0.8993246184565684,0.9075029370321207,0.9097634773707551,0.9015284672543783,0.8770121566033516
88231,0.9374651039071296,0.9466415220660321,0.949135622104424,0.9334380273559629,0.9227022362617101
88232,0.9378956050761666,0.9481627355738619,0.9527336694692924,0.935108897161434,0.9252692811709441
88233,0.91008462378851,0.9247372416091655,0.9294624076195087,0.9126573018938282,0.8929806356560338
88234,0.907975460426258,0.9191319665802649,0.9214697212146135,0.908955797610581,0.8873208356025135
88235,0.9118339411843864,0.9218832170668392,0.926043887936938,0.9126163292259708,0.8941648033778768
88237,0.900412629025622,0.9108005855313084,0.9115050445122339,0.9008927597682693,0.8752748440990377
88238,0.9635181891331174,0.9729846635889383,0.9685751118180659,0.9607145403602897,0.9398467284644175
88239,0.9104447706461459,0.9247254432441535,0.9313537648206678,0.9130766507107052,0.89482673460447
88240,0.9237015759663876,0.9354272007256774,0.9429582777669057,0.9236057267359278,0.9115469979331114
88241,0.91008462378851,0.9247372416091655,0.9294624076195087,0.9126573018938282,0.8929806356560338
88242,0.8979877981923837,0.908307852398809,0.9109372410575748,0.8986600155011386,0.876732892138902
88243,0.8979877981923837,0.908307852398809,0.9109372410575748,0.8986600155011386,0.876732892138902
88245,0.8980884004117614,0.9083974893461508,0.9110241144879658,0.8987598976548439,0.8752748440990377
88246,0.8980884004117614,0.9083974893461508,0.9110241144879658,0.8987598976548439,0.8768566913705683
88247,0.8980884004117614,0.9083974893461508,0.9110241144879658,0.8987598976548439,0.8768566913705683
88248,0.9005582484021174,0.9132136153846151,0.916363723827124,0.9026067191120047,0.8797911370674094
88249,0.8975772240086766,0.9132136153846151,0.9152085969098965,0.9005384913848814,0.8744286103772936
88250,0.9675452724574733,0.9745714012744278,0.9652310102240544,0.9683740732143306,0.9489148365926647
88251,1.0067368242116985,1.0138571633672129,1.005452934782661,1.0058710043408106,0.9970245166611927
88252,0.9635181891331174,0.9729846635889383,0.9685751118180659,0.9607145403602897,0.9398467284644175
88253,0.961654057139695,0.9704113807949555,0.9640101149000022,0.9589048322097357,0.9402301982043322
88254,0.9149519189023576,0.926480440132114,0.9290726157563687,0.9162126152340633,0.8949334942729537
88255,0.9149519189023576,0.926480440132114,0.9290726157563687,0.9162126152340633,0.8949334942729537
88256,0.907975460426258,0.9191319665802649,0.9214697212146135,0.908955797610581,0.8873208356025135
88257,0.8867198146167381,0.9011467952377386,0.904448813420542,0.8876918224969609,0.8657100593029359
88258,0.8867198146167381,0.9011467952377386,0.904448813420542,0.8876918224969609,0.8657100593029359
88259,0.8867198146167381,0.9011467952377386,0.904448813420542,0.8876918224969609,0.8657100593029359
88260,0.8867198146167381,0.9011467952377386,0.904448813420542,0.8876918224969609,0.8657100593029359
88261,0.8867231590759682,0.9011496779799386,0.9044515920627644,0.8876951354912122,0.8657140968603522
88262,0.8867231590759682,0.9011496779799386,0.9044515920627644,0.8876951354912122,0.8657140968603522
88263,0.8867231590759682,0.9011496779799386,0.9044515920627644,0.8876951354912122,0.8657140968603522
88264,0.8982655536937282,0.9151870671030781,0.9153353421917633,0.9007719170155012,0.8749838446393383
88265,0.8934685800140367,0.904283530313521,0.9045774012825816,0.8957416516893874,0.8680378078313629
88266,0.8975772240086766,0.9151870671030781,0.9152085969098965,0.9005384913848814,0.8744286103772936
88267,0.9423659082902465,0.9512810302182666,0.9496291272638642,0.9462088066607794,0.9237953343009263
88268,0.9423659082902465,0.9512810302182666,0.9496291272638642,0.9462088066607794,0.9237953343009263
88269,0.9067104038544374,0.9155483182713836,0.9157083337815118,0.9088571616036764,0.8842540682046797
88270,0.8935746307955043,0.9098115233277302,0.9113818902125146,0.8960693929810702,0.8720357893118162
88271,0.8958594207180302,0.9103926880760577,0.9131610103363262,0.8966325571280589,0.8731395993852592
88272,0.9027804750313057,0.9148374024737042,0.9171070595833027,0.9055469841754519,0.8807649826481826
88273,0.902746283357072,0.9148077551350886,0.9170782574687997,0.9055138433722837,0.8807222503558003
88274,0.8893047064288214,0.8993484661310943,0.8994907009659078,0.8904414108225436,0.8632172530395946
88275,0.8893047064288214,0.8993484661310943,0.8994907009659078,0.8904414108225436,0.8632172530395946
88276,0.8893047064288214,0.8993484661310943,0.8994907009659078,0.8904414108225436,0.8632172530395946
88277,0.8909793745862388,0.9019625304472256,0.9033351837710348,0.8934082705178448,0.8650432775566339
88278,0.8909793745862388,0.9019625304472256,0.9033351837710348,0.8934082705178448,0.8650432775566339
88279,0.8909793745862388,0.9019625304472256,0.9033351837710348,0.8934082705178448,0.8650432775566339
88280,0.8909793745862388,0.9019625304472256,0.9033351837710348,0.8934082705178448,0.8650432775566339
88281,0.8993741557944883,0.9113163736657208,0.9131975922544496,0.9011054662940343,0.8749592620686175
88282,0.8993741557944883,0.9113163736657208,0.9131975922544496,0.9011054662940343,0.8749592620686175
88283,0.8993741557944883,0.9113163736657208,0.9131975922544496,0.9011054662940343,0.8749592620686175
88284,0.9675452724574733,0.9745714012744278,0.9652310102240544,0.9683740732143306,0.9489148365926647
88285,0.9675452724574733,0.9745714012744278,0.9652310102240544,0.9683740732143306,0.9489148365926647
88286,0.961654057139695,0.9704113807949555,0.9640101149000022,0.9589048322097357,0.9402301982043322
88287,0.8936986860041198,0.9058051737481116,0.9076275152647133,0.896054231336735,0.8693206506868811
88288,0.8936986860041198,0.9058051737481116,0.9076275152647133,0.896054231336735,0.8693206506868811
88289,0.8936986860041198,0.9058051737481116,0.9076275152647133,0.896054231336735,0.8693206506868811
88291,0.8909809854899272,0.9019639655536584,0.903336597135304,0.8934098422620865,0.8650453169192603
88292,0.8909809854899272,0.9019639655536584,0.903336597135304,0.8934098422620865,0.8650453169192603
88293,0.8909809854899272,0.9019639655536584,0.903336597135304,0.8934098422620865,0.8650453169192603
88294,0.8909809854899272,0.9019639655536584,0.903336597135304,0.8934098422620865,0.8650453169192603
88295,0.8909809854899272,0.9019639655536584,0.903336597135304,0.8934098422620865,0.8650453169192603
88296,0.8909809854899272,0.9019639655536584,0.903336597135304,0.8934098422620865,0.8650453169192603
88297,0.8993290285463171,0.907506960822886,0.9097673953208769,0.9015327727213021,0.8770176482900692
88298,0.8935214875457012,0.9039208362326099,0.9011046811725468,0.8941988523474009,0.8685859460305322
88299,0.8935214875457012,0.9039208362326099,0.9011046811725468,0.8941988523474009,0.8685859460305322
88300,0.8935214875457012,0.9039208362326099,0.9011046811725468,0.8941988523474009,0.8685859460305322
88301,0.8935214875457012,0.9039208362326099,0.9011046811725468,0.8941988523474009,0.8685859460305322
88305,0.896696810785808,0.9099006401892045,0.915747083290888,0.897557890031104,0.8755300242903983
88306,0.886706430327863,0.9011352587242288,0.9044376935106966,0.8876785641300134,0.8656939012481738
88307,0.8924183720595923,0.9028011588352726,0.9011968148635524,0.8939776317073863,0.8684015100546593
88308,0.8924183720595923,0.9028011588352726,0.9011968148635524,0.8939776317073863,0.8684015100546593
88309,0.8969675380483119,0.9088789119946454,0.9095157995377655,0.8988350094937434,0.8721945011263866
88310,0.896273134069532,0.9057228812844913,0.9065756933690503,0.8988350094937434,0.8720170342458149
88311,0.8918654203937675,0.9031494254825692,0.9036798962088686,0.8943663758746928,0.8666419203646308
88312,0.8918654203937675,0.9031494254825692,0.9036798962088686,0.8943663758746928,0.8666419203646308
88313,0.896696810785808,0.9099006401892045,0.915747083290888,0.897557890031104,0.8755300242903983
88314,0.896696810785808,0.9099006401892045,0.915747083290888,0.897557890031104,0.8755300242903983
88315,0.8993246184565684,0.9075029370321207,0.9097634773707551,0.9015284672543783,0.8770121566033516
88316,0.8582628811176186,0.8759992438972294,0.8808567258471389,0.8590508254808789,0.8374332612097145
88317,0.8582628811176186,0.8759992438972294,0.8808567258471389,0.8590508254808789,0.8374332612097145
88318,0.8582628811176186,0.8759992438972294,0.8808567258471389,0.8590508254808789,0.8374332612097145
88319,0.8582628811176186,0.8759992438972294,0.8808567258471389,0.8590508254808789,0.8374332612097145
88321,0.901070849376052,0.9105754304961791,0.908165198349187,0.9035154076998434,0.8780613591834387
88323,0.9144003033902623,0.923185731893971,0.9186492252206643,0.9130190469908842,0.8893081379794976
88324,0.9135375141524767,0.9232100196573735,0.9186750454548687,0.9130467853453964,0.8876933427959741
88326,0.9144288075016092,0.9232111224321967,0.9186762178097282,0.913048044790055,0.8893457918667388
88327,0.9143031681765688,0.9230992076946898,0.9185572412772504,0.9129202292787817,0.8891798193529513
88328,0.9144288075016092,0.9232111224321967,0.9186762178097282,0.913048044790055,0.8893457918667388
88329,1.0370240989781327,1.0410462230689057,1.0276258402907128,1.0426284203595817,1.0319274433480108
88330,1.0370240989781327,1.0410462230689057,1.0276258402907128,1.0426284203595817,1.0319274433480108
88331,0.9521923480798232,0.9648167142105167,0.9533383887319582,0.9561103823458212,0.934714555374831
88332,0.9407928251094352,0.9488411757047148,0.9446597388362359,0.9397999189044983,0.9178732333196735
88333,0.9232061338798058,0.9325844275088736,0.9256031716337804,0.9221836822461714,0.8992789026666976
88334,0.9575433981364473,0.963580842021666,0.9560229419633984,0.9561697086868147,0.9359987326101402
88335,0.9082736968807877,0.9192179691544174,0.9145197048929083,0.909196009938472,0.8847171919169166
88336,0.9082736968807877,0.9192179691544174,0.9145197048929083,0.909196009938472,0.8847171919169166
88337,0.9082736968807877,0.9192179691544174,0.9145197048929083,0.909196009938472,0.8847171919169166
88338,0.9082736968807877,0.9192179691544174,0.9145197048929083,0.909196009938472,0.8847171919169166
88339,0.9027303522170789,0.9134794867219689,0.9094916285802794,0.9041740952787882,0.8788687930480166
88340,0.9028043952737266,0.9135447515455288,0.9095601316138411,0.9042469500741711,0.8789629019768572
88341,0.8768843637152568,0.8935828237218733,0.8979396639120127,0.8772498377036255,0.8529812630220337
88342,0.8768843637152568,0.8935828237218733,0.8979396639120127,0.8772498377036255,0.8529812630220337
88343,0.8768843637152568,0.8935828237218733,0.8979396639120127,0.8772498377036255,0.8529812630220337
88344,0.8483663702364777,0.8622946686484844,0.8687495389961063,0.8483492215822561,0.8282433474936273
88345,0.8582693447356964,0.8760048119211273,0.8808620533426889,0.8590572487229456,0.837440812734529
88346,0.8632166243146641,0.8781481093008444,0.8841763057716365,0.8642317413548761,0.8434913363560471
88347,0.8632166243146641,0.8781481093008444,0.8841763057716365,0.8642317413548761,0.8434913363560471
88348,0.8629699322244886,0.8779311864835999,0.883971185793098,0.8639870976662426,0.8432041079456527
88349,0.8632166243146641,0.8781481093008444,0.8841763057716365,0.8642317413548761,0.8434913363560471
88350,0.8632166243146641,0.8781481093008444,0.8841763057716365,0.8642317413548761,0.8434913363560471
88351,0.9377937182967028,0.9463308578423736,0.943587377853141,0.9410198439914226,0.9186711352625258
88352,0.9377937182967028,0.9463308578423736,0.943587377853141,0.9410198439914226,0.9186711352625258
88353,0.8993290285463171,0.907506960822886,0.9097673953208769,0.9015327727213021,0.8770176482900692
88354,0.9211430114852371,0.9327281540168544,0.9338447163258212,0.9213682432391219,0.8989998507059885
88355,0.8939806590799735,0.9096874419349796,0.9136617199896095,0.8938362396523528,0.8698001136686657
88356,0.8962899309240087,0.9057380257552214,0.9065906900077203,0.8988735262584118,0.872038196072741
88357,0.8962134382066177,0.9056690582254431,0.9065223957230372,0.8987991032656016,0.8719418243652906
88358,0.8485520299149585,0.8624612229013724,0.8689073952265131,0.848534905072462,0.8284574532060041
88359,0.8485520299149585,0.8624612229013724,0.8689073952265131,0.848534905072462,0.8284574532060041
88360,0.8472567620953136,0.8612409411462683,0.8674390035053057,0.8465279754574723,0.8274213930469287
88361,0.8472591045671739,0.8612430431019548,0.8674410007253172,0.8465303306268018,0.8274240870461722
88362,0.8485335288772702,0.8624446255326622,0.8688916645470987,0.8485164016621991,0.828436117894081
88363,0.8484384848024888,0.8623593617117289,0.8688108533557148,0.8484213453980153,0.82832651217363
88364,0.8484384848024888,0.8623593617117289,0.8688108533557148,0.8484213453980153,0.82832651217363
88365,0.8484245441019379,0.8623468556356032,0.8687990004091155,0.8484074029094365,0.8283104354396122
88366,0.8483663702364777,0.8622946686484844,0.8687495389961063,0.8483492215822561,0.8282433474936273
88367,0.8484384848024888,0.8623593617117289,0.8688108533557148,0.8484213453980153,0.82832651217363
88368,0.977111718308473,0.9823324423059812,0.9763578000595327,0.9762584757818952,0.9576098846711608
88369,1.0292884229199208,1.031007029913911,1.0211328849449457,1.0283708788110522,1.0177379814786376
88370,1.0292884229199208,1.031007029913911,1.0211328849449457,1.0283708788110522,1.0177379814786376
88371,0.9787936896333763,0.9824975869975334,0.9763642831804051,0.9779913782840791,0.9618667506246218
88372,0.9575433981364473,0.963580842021666,0.9560229419633984,0.9561697086868147,0.9359987326101402
88373,0.9179800818399914,0.9305581634284074,0.9324614277662544,0.918618985597472,0.8962620022376794
88374,0.9179800818399914,0.9305581634284074,0.9324614277662544,0.918618985597472,0.8962620022376794
88375,0.9143031681765688,0.9230992076946898,0.9185572412772504,0.9129202292787817,0.8891798193529513
88376,0.9082830768750778,0.91922615414332,0.9145284002071157,0.909205288378239,0.8847292200015282
88377,0.9082830768750778,0.91922615414332,0.9145284002071157,0.909205288378239,0.8847292200015282
88378,0.9134987542405049,0.9235957278774166,0.9192625612341622,0.9132165918641586,0.8876418773655183
88379,0.9754067601006453,0.9808618769505699,0.9743345839477807,0.9757327817877706,0.9582746244304536
88380,0.9225117781065053,0.9283329356131379,0.9260145797044497,0.9180981401225088,0.8975562678888819
88381,0.9787838194577474,0.9824894652199578,0.9763532605094181,0.9779811279988057,0.9618487550443464
88383,0.9313073192077933,0.9390089881186143,0.9345633563685438,0.927513470702003,0.9060861391180283
88384,0.9754067601006453,0.9808618769505699,0.9743345839477807,0.9757327817877706,0.9582746244304536
88385,0.9542279376321521,0.9596640837478506,0.9532312877978257,0.9527679817113506,0.9332972123739923
88387,0.9754067601006453,0.9808618769505699,0.9743345839477807,0.9757327817877706,0.9582746244304536
88388,0.9754067601006453,0.9808618769505699,0.9743345839477807,0.9757327817877706,0.9582746244304536
88389,0.9376851440301023,0.945148223177832,0.9412406836659408,0.9364074246470067,0.9159999244908378
88391,0.9232061338798058,0.9325844275088736,0.9256031716337804,0.9221836822461714,0.8992789026666976
88392,0.9144003033902623,0.923185731893971,0.9186492252206643,0.9130190469908842,0.8893081379794976
88393,0.9232061338798058,0.9325844275088736,0.9256031716337804,0.9221836822461714,0.8992789026666976
88394,0.9144003033902623,0.923185731893971,0.9186492252206643,0.9130190469908842,0.8893081379794976
88395,0.9144003033902623,0.923185731893971,0.9186492252206643,0.9130190469908842,0.8893081379794976
88396,0.9144003033902623,0.923185731893971,0.9186492252206643,0.9130190469908842,0.8893081379794976
88398,0.900412629025622,0.9108005855313084,0.9115050445122339,0.9008927597682693,0.8752748440990377
88399,0.901070849376052,0.9105754304961791,0.908165198349187,0.9035154076998434,0.8780613591834387
88400,0.9027303522170789,0.9134794867219689,0.9094916285802794,0.9041740952787882,0.8788687930480166
88401,0.8473526168393206,0.8613269544432449,0.8675207311805474,0.8466243497528052,0.827531631330299
88402,0.8471957777921116,0.8611862187210464,0.8673870078713012,0.8464666605718316,0.8273512565555503
88403,0.8473526168393206,0.8613269544432449,0.8675207311805474,0.8466243497528052,0.827531631330299
88404,0.8571184404349378,0.8712212716709594,0.876975366030757,0.8554132712179929,0.8347589862189453
88405,0.8571010340172307,0.8712057754873841,0.8769606359326244,0.8553956306349462,0.8347384526098283
88406,0.8484245441019379,0.8623468556356032,0.8687990004091155,0.8484074029094365,0.8283104354396122
88407,0.8484082696693191,0.8623322560201084,0.8687851632710782,0.8483911263894236,0.8282916673319494
88408,0.8483430610748595,0.8622737584330613,0.8687297209100262,0.8483259094307024,0.8282164663954803
88409,0.8993290285463171,0.907506960822886,0.9097673953208769,0.9015327727213021,0.8770176482900692
88410,0.9521923480798232,0.9648167142105167,0.9533383887319582,0.9561103823458212,0.934714555374831
88411,0.9304740271557683,0.9430008321167171,0.9364059665371873,0.9319167660539704,0.9084380648136103
88412,0.9521923480798232,0.9648167142105167,0.9533383887319582,0.9561103823458212,0.934714555374831
88413,0.9027303522170789,0.9134794867219689,0.9094916285802794,0.9041740952787882,0.8788687930480166
88414,0.9228341371492346,0.9314851917345157,0.9306056748946784,0.9261122788033588,0.9020660094028408
88415,0.9228341371492346,0.9314851917345157,0.9306056748946784,0.9261122788033588,0.9020660094028408
88416,0.895946500540942,0.9080456999941608,0.9065483860857821,0.8985955675651883,0.870660806578657
88417,0.895946500540942,0.9080456999941608,0.9065483860857821,0.8985955675651883,0.870660806578657
88418,0.9135375141524767,0.9236296742352705,0.9192985634285912,0.9132554874611998,0.8876933427959741
88419,0.9133779903182928,0.9234899627395196,0.919150390262591,0.9130954051488231,0.8874815218374725
88420,0.9133779903182928,0.9234899627395196,0.919150390262591,0.9130954051488231,0.8874815218374725
88421,0.9133779903182928,0.9234899627395196,0.919150390262591,0.9130954051488231,0.8874815218374725
88422,0.9133779903182928,0.9234899627395196,0.919150390262591,0.9130954051488231,0.8874815218374725
88423,0.8712906931742699,0.8870345162363051,0.8924412634891397,0.8705441254414985,0.848103279428026
88424,0.8582067842419235,0.8759509200382473,0.8808104895585556,0.8589950790377184,0.8373677220656598
88425,0.8582628811176186,0.8759992438972294,0.8808567258471389,0.8590508254808789,0.8374332612097145
88426,0.8582067842419235,0.8759509200382473,0.8808104895585556,0.8589950790377184,0.8373677220656598
88430,0.896260907009172,0.9057118570754741,0.906564776774033,0.8988452876445063,0.8720016296847373
88431,0.9228341371492346,0.9314851917345157,0.9306056748946784,0.9261122788033588,0.9020660094028408
88432,0.8962134382066177,0.9056690582254431,0.9065223957230372,0.8987991032656016,0.8719418243652906
88433,0.8962134382066177,0.9056690582254431,0.9065223957230372,0.8987991032656016,0.8719418243652906
88434,0.8896392779217065,0.9003021610389459,0.8977758508286553,0.8922063278430613,0.8654811537508011
88435,0.8896392779217065,0.9003021610389459,0.8977758508286553,0.8922063278430613,0.8654811537508011
88436,0.8896392779217065,0.9003021610389459,0.8977758508286553,0.8922063278430613,0.8654811537508011
88437,0.8896392779217065,0.9003021610389459,0.8977758508286553,0.8922063278430613,0.8654811537508011
88438,0.9010867197225382,0.910589660969816,0.9081798421943819,0.9035308537642832,0.8780813105567233
88439,0.9985812126768552,1.0009436381536687,0.9965216628364448,1.0025303523130573,0.9883481595408883
88440,0.9828447675451234,0.9880223280488856,0.9791688686177532,0.9828539558411165,0.9652523026752028
88441,0.9828447675451234,0.9880223280488856,0.9791688686177532,0.9828539558411165,0.9652523026752028
88442,0.9828424262719401,0.9880207002290528,0.9791660171770432,0.9828516158393515,0.9652474920044253
