time,AVA,AZPS,BANC,BPAT,CISO,CHPD,EPE,IPCO,LDWP,MONT,NEVP,PACE,PACW,PGE,PNM,PSCO,PSEI,SCL,SRP,TEPC,WACM,WALC,AECI,AEC,AVRN,CPLE,CPLW,DEAA,DOPD,DUK,EEI,ERCO,FMPP,FPC,FPL,GCPD,GRID,GRIF,GVL,GWA,HGMA,HST,IID,ISNE,JEA,LGEE,MISO,NSB,NWMT,NYIS,OVEC,PJM,SCEG,SC,SEC,SEPA,SOCO,SPA,SWPP,TAL,TEC,TIDC,TPWR,TVA,WAUW,WWA,YAD,BCHA,CEN,HQT,NBSO,IESO,MHEB,AESO,SPC,GLHB
2050-01-01 00:00:00,2062.791094999533,2693.728276903605,1812.4562603938489,8955.574116035488,22810.08826739137,1276.201269703975,1688.6307627562285,2383.597709399522,2801.8935179961773,1964.2818156796316,3635.409203756328,5825.74697385189,2969.899632858499,2860.029014672774,1639.8353294744666,6324.586715168083,4511.1936117204,1477.5180185610968,2816.6426091471244,1430.6245418638175,4717.222075627615,860.0708605159307,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 01:00:00,2172.811465680329,3095.302266904234,1922.1036946415657,9407.830952092185,24167.56867542268,1324.9537025085006,1768.5866697039833,2516.3824923572065,2974.496549750921,2041.2005991474448,3860.8535965344663,6065.35355151966,3143.5364680603498,3008.855706775276,1786.764457530767,6729.887598251205,4802.285026757108,1556.3878495196718,3065.460913575809,1596.756936106138,4878.880413857949,892.0495428151239,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 02:00:00,2247.220840889637,3405.049343344017,2093.4590915154267,9804.62308338948,26420.355238995755,1352.7721783600882,1828.0768393551168,2603.8985995220337,3250.186836061703,2065.060431917836,4146.117601552216,6159.26725416895,3304.8034813612003,3183.925684207898,1862.6864040481423,6767.713747697274,5004.224915715759,1619.6836678416378,3312.546656961445,1668.084038051232,4900.436788942327,936.9734902826234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 03:00:00,2240.9727035675232,3434.225695796505,2145.8989443477703,9844.11905334623,27566.038727934392,1349.7202366100464,1830.218648324347,2594.6614242578858,3330.8578778308133,2041.5859450785224,4190.1087313989165,6072.276427013825,3316.7609312863324,3209.049854509603,1842.647795858768,6608.804212665404,5017.882109956223,1612.7596640234378,3334.981503523565,1665.7564861018034,4847.765182147987,944.3728282921152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 04:00:00,2223.124793305149,3416.659332595355,2123.1283498997936,9793.275916273378,27466.112828586734,1348.4452326516396,1818.1384246675968,2577.2278241008007,3295.603069553328,2017.4405602813224,4159.93548090431,5985.109027437047,3299.659899940874,3179.670978952025,1827.196464049268,6459.296181408797,4969.121188887017,1596.32939586999,3302.398122117209,1638.023672236032,4806.949473295933,934.8985075558934,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 05:00:00,2186.9767738067458,3324.1923488293187,2079.643202755264,9628.775690822222,26826.718171298668,1336.414491876767,1778.7743985506677,2510.5590491023145,3229.171584272726,1962.940132680405,4092.646561617864,5809.239151805728,3243.144429185785,3114.18504610824,1761.3060986803464,6178.465500264479,4855.584634561701,1563.6050160604946,3212.733744536263,1570.782494632817,4697.226371614516,909.9033922146248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 06:00:00,2116.9344255916703,3116.763604052248,1983.8502106766264,9289.693972293651,25658.656942904647,1309.6676288564893,1709.14464001824,2388.201853349484,3093.842544200424,1884.773699692489,3956.213392825567,5554.750452217921,3115.8549452620528,2968.875654626388,1657.403085807014,5794.873488836524,4636.48325199352,1498.2502899536198,3013.8114085183865,1471.0704467377277,4558.753512472071,879.6527594249047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 07:00:00,2024.018385989319,2918.520334170548,1839.335187533025,8806.901628833726,23921.173979277304,1271.7196597190932,1642.2100891979198,2285.247601192976,2867.961360450364,1824.529008348005,3783.502197230895,5315.782220441058,2956.556720915955,2754.010572562134,1569.6423971847362,5491.701859866142,4339.792436980202,1393.6591874378646,2818.5986324993246,1397.1904326837566,4500.085983668225,886.9704347815831,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 08:00:00,1949.481294002768,2820.25567782837,1702.4880653644236,8408.388729573466,22179.852524232843,1250.370599693741,1598.2703019356404,2230.8792560788547,2636.6728778792112,1792.2084698980937,3618.5918075290992,5165.248440773104,2803.728885172151,2550.851404366293,1518.3305397413728,5319.244123575039,4049.266856096912,1291.6880866819615,2706.7226103011008,1360.7698578004663,4441.90829556154,866.1221532942996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 09:00:00,1896.2119163668008,2760.5431533123037,1607.8248103959488,8185.588106788743,20927.47071867257,1240.0397789870342,1573.825617878638,2198.0989394300373,2438.237137985357,1775.3248070218006,3499.7340979589867,5088.896307091924,2697.596241622311,2412.6937266583227,1487.676146437428,5253.175951076894,3857.600877030565,1219.9374096673132,2646.456232040576,1342.6514928047714,4406.784527123003,860.2492251064497,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 10:00:00,1884.2631893490225,2724.951167295833,1557.3411429742052,8099.162042095821,20129.392708947114,1244.5558555718796,1557.7366014717431,2200.5152511195824,2316.2139110317453,1768.3442712613423,3439.6098898361606,5057.865312379448,2652.6836673874054,2329.698941824002,1475.723295293347,5230.481018359938,3744.861535937475,1175.1723771530787,2620.67848372353,1338.4776358623944,4389.818355154031,861.4699447009724,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 11:00:00,1882.613022750825,2765.8201387900485,1537.6756407561595,8125.543912374748,19678.978632585666,1257.7109687898585,1561.3266605008585,2216.088890406079,2241.296711338535,1774.7797980440816,3414.3861421063702,5085.095220617344,2654.8176006028016,2310.0773803579004,1484.6101061424952,5283.763690527274,3710.928204597984,1160.3786858959186,2655.084605702365,1364.3878427538548,4415.662843269101,867.586450455132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 12:00:00,1901.8415651010532,2896.518837844282,1541.4259817088423,8235.987810064054,19565.433624825764,1278.9785353566456,1585.9279441277918,2272.7009367786995,2213.091862951538,1798.9527641740367,3428.164394522653,5175.792817191834,2682.270214037452,2335.930248049991,1520.675084729303,5436.308712229046,3746.406682578176,1163.0587270252145,2772.738138263598,1432.48640046527,4475.417753126478,889.6106023952079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 13:00:00,1948.8973883285644,3176.283630307315,1604.5238149740992,8563.023512527101,20035.51296472547,1308.618167419534,1645.1625272384094,2393.2197373400195,2270.332676818975,1858.1122389616723,3510.7469477469954,5392.12363606309,2795.846559232488,2438.5861558346446,1613.115572657685,5747.495235443805,3907.166915466455,1207.1488143233576,3020.565605239582,1560.022767613561,4596.696575935346,936.6672054869432,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 14:00:00,2060.6883235335213,3540.177822319232,1742.2429478206814,9189.091773320795,21351.4483527792,1363.1386101309847,1736.9546659268462,2587.7394596117483,2457.884620335999,1975.840903553169,3691.857118518458,5732.645913994609,3042.4228808104845,2670.3917341391543,1751.75746206682,6209.164268483248,4216.2096405963575,1320.248630356376,3349.366546815817,1696.4372265719217,4763.443805080025,993.4856278190224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 15:00:00,2215.822718215958,3682.340557924731,1956.8762866817024,10019.20672139524,23567.43861582454,1439.2308415756486,1761.539577772283,2752.0949549207726,2747.3722466444688,2085.418407598829,3902.520735566506,6002.993221146996,3378.2689523805275,3012.3747568672597,1797.0674650743308,6451.146533684915,4602.585564457408,1489.4499622196115,3432.3828527613177,1689.5873526547205,4871.359096193621,991.3557561864418,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 16:00:00,2278.4438518343413,3505.2450704901007,2051.562751340825,10406.962167035708,24871.396137833864,1456.3374439735258,1760.202613694022,2765.43256336236,2899.8004771269107,2088.226399428057,3913.859963396693,6034.028755440317,3564.4854871687694,3215.5062136750803,1770.978790581948,6449.562909807409,4848.358851114735,1600.0868246567154,3300.0803174204634,1580.8374331389884,4879.447253823631,957.8731236619188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
